packaged good,goods type,industry,hygienic class,pressure
fresh milk,liquid,dairy,ultraclean,
liquid dairy products,liquid,dairy,aseptic,
dessert,paste,dairy,aseptic,
yoghurt,paste,dairy,ultraclean,
cream cheese,paste,dairy,clean,
baby food,paste,food,ultraclean,
fruit juice,liquid,beverage,clean,
carbonated softdrink,liquid,beverage,clean,carbonated
water,liquid,beverage,clean,
beer,liquid,beverage,clean,carbonated
coffebeans,powder,food,,
ground coffee,dry bulk,food,,
spices,powder,food,,
snacks,dry bulk,food,,
cereals,dry bulk,food,,
cereal bars,dry piece,food,,
chocolate bar,dry piece,food,,
chocolate pieces,dry bulk,food,,
candy,dry bulk,food,,
pasta,dry bulk,food,,
frozen food,wet piece,food,,
frozen food,wet bulk,food,,
salad,wet bulk,food,,
meat pieces,wet piece,food,,
ground meat,paste,food,,
sausage,wet piece,food,,
cheese,wet piece,dairy,,
tablets,dry piece,pharma,,
liquid medicine,liquid,pharma,sterile,
non-food pieces,dry piece,non-food,,
prepackaged boxes,dry piece,non-food,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
